Entity,Code,Year,Solar Capacity
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.000025
Argentina,ARG,2001,0.000026
Argentina,ARG,2002,0.000026
Argentina,ARG,2003,0.000026
Argentina,ARG,2004,0.000026
Argentina,ARG,2005,0.000026
Argentina,ARG,2006,0.000026
Argentina,ARG,2007,0.000026
Argentina,ARG,2008,0.000026
Argentina,ARG,2009,0.000026
Argentina,ARG,2010,0.000026
Argentina,ARG,2011,0.001252
Argentina,ARG,2012,0.006252
Argentina,ARG,2013,0.008257
Argentina,ARG,2014,0.008252
Argentina,ARG,2015,0.008618
Argentina,ARG,2016,0.008806
Argentina,ARG,2017,0.008806
Argentina,ARG,2018,0.191236
Argentina,ARG,2019,0.442111
Argentina,ARG,2020,0.764135
Argentina,ARG,2021,1.071366
Asia,,1996,0.061
Asia,,1997,0.0938
Asia,,1998,0.1393
Asia,,1999,0.2214
Asia,,2000,0.37112
Asia,,2001,0.50622998
Asia,,2002,0.712151
Asia,,2003,0.9508200000000001
Asia,,2004,1.241006
Asia,,2005,1.6106339
Asia,,2006,1.972485
Asia,,2007,2.298976
Asia,,2008,2.878011
Asia,,2009,3.7645862
Asia,,2010,5.629264
Asia,,2011,9.88405
Asia,,2012,16.54569
Asia,,2013,36.577152000000005
Asia,,2014,61.170582
Asia,,2015,91.58861999999999
Asia,,2016,142.65352
Asia,,2017,217.31088
Asia,,2018,284.53244
Asia,,2019,344.22015999999996
Asia,,2020,423.60356
Asia,,2021,501.57628000000005
Asia Pacific (BP),,1996,0.077
Asia Pacific (BP),,1997,0.1125
Asia Pacific (BP),,1998,0.162
Asia Pacific (BP),,1999,0.246
Asia Pacific (BP),,2000,0.395655
Asia Pacific (BP),,2001,0.5345599999999999
Asia Pacific (BP),,2002,0.7451810000000001
Asia Pacific (BP),,2003,0.98845
Asia Pacific (BP),,2004,1.285106
Asia Pacific (BP),,2005,1.6591710000000002
Asia Pacific (BP),,2006,2.029164
Asia Pacific (BP),,2007,2.363006
Asia Pacific (BP),,2008,2.951403
Asia Pacific (BP),,2009,4.052475
Asia Pacific (BP),,2010,6.625174
Asia Pacific (BP),,2011,12.136772
Asia Pacific (BP),,2012,20.023832
Asia Pacific (BP),,2013,40.64408
Asia Pacific (BP),,2014,65.618234
Asia Pacific (BP),,2015,96.15716400000001
Asia Pacific (BP),,2016,146.79978
Asia Pacific (BP),,2017,218.84447
Asia Pacific (BP),,2018,284.15684000000005
Asia Pacific (BP),,2019,344.11662
Asia Pacific (BP),,2020,425.32716
Asia Pacific (BP),,2021,501.6153
Australia,AUS,1996,0.016
Australia,AUS,1997,0.019
Australia,AUS,1998,0.023
Australia,AUS,1999,0.025
Australia,AUS,2000,0.025
Australia,AUS,2001,0.029
Australia,AUS,2002,0.034
Australia,AUS,2003,0.039
Australia,AUS,2004,0.046
Australia,AUS,2005,0.052000000000000005
Australia,AUS,2006,0.061
Australia,AUS,2007,0.07
Australia,AUS,2008,0.082
Australia,AUS,2009,0.329
Australia,AUS,2010,1.088
Australia,AUS,2011,2.47
Australia,AUS,2012,3.7960000000000003
Australia,AUS,2013,4.565
Australia,AUS,2014,5.284
Australia,AUS,2015,5.9430000000000005
Australia,AUS,2016,6.686
Australia,AUS,2017,7.352
Australia,AUS,2018,8.623
Australia,AUS,2019,12.967
Australia,AUS,2020,17.342
Australia,AUS,2021,19.074
Austria,AUT,1996,0.0017
Austria,AUT,1997,0.0022
Austria,AUT,1998,0.0029
Austria,AUT,1999,0.0037
Austria,AUT,2000,0.005
Austria,AUT,2001,0.007
Austria,AUT,2002,0.009000000000000001
Austria,AUT,2003,0.023
Austria,AUT,2004,0.027
Austria,AUT,2005,0.021018000000000002
Austria,AUT,2006,0.022387
Austria,AUT,2007,0.024238
Austria,AUT,2008,0.03012
Austria,AUT,2009,0.048915
Austria,AUT,2010,0.088813
Austria,AUT,2011,0.17407
Austria,AUT,2012,0.33748300000000003
Austria,AUT,2013,0.625974
Austria,AUT,2014,0.785246
Austria,AUT,2015,0.937098
Austria,AUT,2016,1.096016
Austria,AUT,2017,1.268971
Austria,AUT,2018,1.455132
Austria,AUT,2019,1.702093
Austria,AUT,2020,2.042934
Austria,AUT,2021,2.6919340000000003
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0.001
Belgium,BEL,2003,0.001
Belgium,BEL,2004,0.001
Belgium,BEL,2005,0.002
Belgium,BEL,2006,0.002
Belgium,BEL,2007,0.02
Belgium,BEL,2008,0.062
Belgium,BEL,2009,0.386
Belgium,BEL,2010,1.0066
Belgium,BEL,2011,1.9786
Belgium,BEL,2012,2.6466
Belgium,BEL,2013,2.9016
Belgium,BEL,2014,3.015
Belgium,BEL,2015,3.1316
Belgium,BEL,2016,3.3288
Belgium,BEL,2017,3.6206
Belgium,BEL,2018,4
Belgium,BEL,2019,4.6366000000000005
Belgium,BEL,2020,5.574800000000001
Belgium,BEL,2021,6.584600000000001
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0.000036
Brazil,BRA,2002,0.000036
Brazil,BRA,2003,0.000716
Brazil,BRA,2004,0.000718
Brazil,BRA,2005,0.000718
Brazil,BRA,2006,0.000718
Brazil,BRA,2007,0.000718
Brazil,BRA,2008,0.000764
Brazil,BRA,2009,0.0008139999999999999
Brazil,BRA,2010,0.000854
Brazil,BRA,2011,0.006097000000000001
Brazil,BRA,2012,0.006608
Brazil,BRA,2013,0.012528000000000001
Brazil,BRA,2014,0.020697
Brazil,BRA,2015,0.045567
Brazil,BRA,2016,0.127789
Brazil,BRA,2017,1.206787
Brazil,BRA,2018,2.435022
Brazil,BRA,2019,4.613191
Brazil,BRA,2020,7.879157
Brazil,BRA,2021,13.054926
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0.00003
Bulgaria,BGR,2008,0.0001
Bulgaria,BGR,2009,0.002
Bulgaria,BGR,2010,0.025
Bulgaria,BGR,2011,0.154
Bulgaria,BGR,2012,1.0130000000000001
Bulgaria,BGR,2013,1.02
Bulgaria,BGR,2014,1.026
Bulgaria,BGR,2015,1.029
Bulgaria,BGR,2016,1.028
Bulgaria,BGR,2017,1.0355699999999999
Bulgaria,BGR,2018,1.0326790000000001
Bulgaria,BGR,2019,1.0479500000000002
Bulgaria,BGR,2020,1.097357
Bulgaria,BGR,2021,1.186357
CIS (BP),,1996,0
CIS (BP),,1997,0
CIS (BP),,1998,0
CIS (BP),,1999,0
CIS (BP),,2000,0
CIS (BP),,2001,0
CIS (BP),,2002,0
CIS (BP),,2003,0
CIS (BP),,2004,0
CIS (BP),,2005,0.000063
CIS (BP),,2006,0.000079
CIS (BP),,2007,0.0006969999999999999
CIS (BP),,2008,0.00048499999999999997
CIS (BP),,2009,0.000298
CIS (BP),,2010,0.001577
CIS (BP),,2011,0.002018
CIS (BP),,2012,0.003529
CIS (BP),,2013,0.019021
CIS (BP),,2014,0.088825
CIS (BP),,2015,0.21682300000000002
CIS (BP),,2016,0.307539
CIS (BP),,2017,0.5123759999999999
CIS (BP),,2018,1.21778
CIS (BP),,2019,2.61892
CIS (BP),,2020,3.34832
CIS (BP),,2021,4.911386
Canada,CAN,1996,0.003
Canada,CAN,1997,0.003
Canada,CAN,1998,0.005
Canada,CAN,1999,0.006
Canada,CAN,2000,0.007
Canada,CAN,2001,0.009000000000000001
Canada,CAN,2002,0.01
Canada,CAN,2003,0.012
Canada,CAN,2004,0.014
Canada,CAN,2005,0.018000000000000002
Canada,CAN,2006,0.022
Canada,CAN,2007,0.029
Canada,CAN,2008,0.038
Canada,CAN,2009,0.107
Canada,CAN,2010,0.249
Canada,CAN,2011,0.628
Canada,CAN,2012,0.766
Canada,CAN,2013,1.21
Canada,CAN,2014,1.843
Canada,CAN,2015,2.519
Canada,CAN,2016,2.665
Canada,CAN,2017,2.932
Canada,CAN,2018,3.095
Canada,CAN,2019,3.327
Canada,CAN,2020,3.342
Canada,CAN,2021,3.6296
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.002
Chile,CHL,2013,0.015
Chile,CHL,2014,0.221
Chile,CHL,2015,0.5760000000000001
Chile,CHL,2016,1.125
Chile,CHL,2017,1.809
Chile,CHL,2018,2.137
Chile,CHL,2019,2.653698
Chile,CHL,2020,3.205438
Chile,CHL,2021,4.3600069999999995
China,CHN,1996,0.001
China,CHN,1997,0.0025
China,CHN,1998,0.005
China,CHN,1999,0.01
China,CHN,2000,0.033515
China,CHN,2001,0.038020000000000005
China,CHN,2002,0.056530000000000004
China,CHN,2003,0.06659999999999999
China,CHN,2004,0.0766
China,CHN,2005,0.1412
China,CHN,2006,0.16019999999999998
China,CHN,2007,0.199
China,CHN,2008,0.253
China,CHN,2009,0.4148
China,CHN,2010,1.0218
China,CHN,2011,3.1078
China,CHN,2012,6.7178
China,CHN,2013,17.747799999999998
China,CHN,2014,28.3878
China,CHN,2015,43.537800000000004
China,CHN,2016,77.7878
China,CHN,2017,130.80129
China,CHN,2018,175.01586
China,CHN,2019,204.57479999999998
China,CHN,2020,253.4178
China,CHN,2021,306.4028
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,0
Czechia,CZE,2000,0.0001
Czechia,CZE,2001,0.0001
Czechia,CZE,2002,0.0002
Czechia,CZE,2003,0.0003
Czechia,CZE,2004,0.0004
Czechia,CZE,2005,0.0005859999999999999
Czechia,CZE,2006,0.000841
Czechia,CZE,2007,0.003961
Czechia,CZE,2008,0.0395
Czechia,CZE,2009,0.4646
Czechia,CZE,2010,1.727
Czechia,CZE,2011,1.913
Czechia,CZE,2012,2.0220000000000002
Czechia,CZE,2013,2.0635
Czechia,CZE,2014,2.0674
Czechia,CZE,2015,2.0749
Czechia,CZE,2016,2.0679000000000003
Czechia,CZE,2017,2.0695
Czechia,CZE,2018,2.075072
Czechia,CZE,2019,2.086424
Czechia,CZE,2020,2.122711
Czechia,CZE,2021,2.119211
Denmark,DNK,1996,0
Denmark,DNK,1997,0
Denmark,DNK,1998,0
Denmark,DNK,1999,0
Denmark,DNK,2000,0.001
Denmark,DNK,2001,0.001
Denmark,DNK,2002,0.002
Denmark,DNK,2003,0.002
Denmark,DNK,2004,0.002
Denmark,DNK,2005,0.003
Denmark,DNK,2006,0.003
Denmark,DNK,2007,0.003
Denmark,DNK,2008,0.003
Denmark,DNK,2009,0.005
Denmark,DNK,2010,0.007
Denmark,DNK,2011,0.017
Denmark,DNK,2012,0.402
Denmark,DNK,2013,0.5710000000000001
Denmark,DNK,2014,0.607
Denmark,DNK,2015,0.7821079999999999
Denmark,DNK,2016,0.850953
Denmark,DNK,2017,0.90635
Denmark,DNK,2018,0.998
Denmark,DNK,2019,1.08
Denmark,DNK,2020,1.304294
Denmark,DNK,2021,1.540294
Egypt,EGY,1996,0.0001
Egypt,EGY,1997,0.0001
Egypt,EGY,1998,0.0001
Egypt,EGY,1999,0.0001
Egypt,EGY,2000,0.0001
Egypt,EGY,2001,0.0005
Egypt,EGY,2002,0.0006
Egypt,EGY,2003,0.0006
Egypt,EGY,2004,0.0006
Egypt,EGY,2005,0.0006
Egypt,EGY,2006,0.0006
Egypt,EGY,2007,0.0007
Egypt,EGY,2008,0.0009000000000000001
Egypt,EGY,2009,0.0013000000000000002
Egypt,EGY,2010,0.015
Egypt,EGY,2011,0.015
Egypt,EGY,2012,0.015
Egypt,EGY,2013,0.015
Egypt,EGY,2014,0.015
Egypt,EGY,2015,0.016
Egypt,EGY,2016,0.039
Egypt,EGY,2017,0.16
Egypt,EGY,2018,0.7442000000000001
Egypt,EGY,2019,1.6272
Egypt,EGY,2020,1.6553900000000001
Egypt,EGY,2021,1.6553900000000001
Europe,,1996,0.0669
Europe,,1997,0.0873
Europe,,1998,0.10540000000000001
Europe,,1999,0.1315
Europe,,2000,0.2001
Europe,,2001,0.30036002
Europe,,2002,0.38499402
Europe,,2003,0.623771
Europe,,2004,1.335364
Europe,,2005,2.315507
Europe,,2006,3.266667
Europe,,2007,5.039852
Europe,,2008,10.45816
Europe,,2009,16.835742
Europe,,2010,30.119166000000003
Europe,,2011,53.564973
Europe,,2012,71.716375
Europe,,2013,81.8605
Europe,,2014,88.78095
Europe,,2015,97.34830000000001
Europe,,2016,103.88894
Europe,,2017,110.13502000000001
Europe,,2018,119.68972000000001
Europe,,2019,141.2378
Europe,,2020,161.78277
Europe,,2021,184.94838000000001
Europe (BP),,1996,0.0669
Europe (BP),,1997,0.0873
Europe (BP),,1998,0.10540000000000001
Europe (BP),,1999,0.1315
Europe (BP),,2000,0.2002
Europe (BP),,2001,0.30066000000000004
Europe (BP),,2002,0.385594
Europe (BP),,2003,0.624771
Europe (BP),,2004,1.336864
Europe (BP),,2005,2.317507
Europe (BP),,2006,3.269167
Europe (BP),,2007,5.042852
Europe (BP),,2008,10.461860000000001
Europe (BP),,2009,16.840441
Europe (BP),,2010,30.124855
Europe (BP),,2011,53.571650000000005
Europe (BP),,2012,71.72798399999999
Europe (BP),,2013,81.876945
Europe (BP),,2014,88.81596
Europe (BP),,2015,97.535984
Europe (BP),,2016,104.64562
Europe (BP),,2017,113.3304
Europe (BP),,2018,124.217
Europe (BP),,2019,145.95662
Europe (BP),,2020,167.02231
Europe (BP),,2021,191.1029
France,FRA,1996,0.004
France,FRA,1997,0.006
France,FRA,1998,0.008
France,FRA,1999,0.009000000000000001
France,FRA,2000,0.007
France,FRA,2001,0.007
France,FRA,2002,0.008
France,FRA,2003,0.009000000000000001
France,FRA,2004,0.011
France,FRA,2005,0.013000000000000001
France,FRA,2006,0.015
France,FRA,2007,0.026000000000000002
France,FRA,2008,0.08
France,FRA,2009,0.277
France,FRA,2010,1.044
France,FRA,2011,3.003574
France,FRA,2012,4.358754
France,FRA,2013,5.277289
France,FRA,2014,6.034418
France,FRA,2015,7.137517
France,FRA,2016,7.702081000000001
France,FRA,2017,8.610437
France,FRA,2018,9.672296000000001
France,FRA,2019,10.807874
France,FRA,2020,12.022225
France,FRA,2021,14.709225
Germany,DEU,1996,0.028
Germany,DEU,1997,0.042
Germany,DEU,1998,0.054
Germany,DEU,1999,0.07
Germany,DEU,2000,0.114
Germany,DEU,2001,0.195
Germany,DEU,2002,0.26
Germany,DEU,2003,0.435
Germany,DEU,2004,1.105
Germany,DEU,2005,2.056
Germany,DEU,2006,2.899
Germany,DEU,2007,4.17
Germany,DEU,2008,6.12
Germany,DEU,2009,10.564
Germany,DEU,2010,18.004
Germany,DEU,2011,25.914
Germany,DEU,2012,34.075
Germany,DEU,2013,36.708
Germany,DEU,2014,37.898
Germany,DEU,2015,39.222
Germany,DEU,2016,40.677
Germany,DEU,2017,42.291000000000004
Germany,DEU,2018,45.156
Germany,DEU,2019,48.912
Germany,DEU,2020,53.719
Germany,DEU,2021,58.459
Greece,GRC,1996,0
Greece,GRC,1997,0
Greece,GRC,1998,0
Greece,GRC,1999,0
Greece,GRC,2000,0
Greece,GRC,2001,0.001
Greece,GRC,2002,0.001
Greece,GRC,2003,0.001
Greece,GRC,2004,0.001
Greece,GRC,2005,0.001
Greece,GRC,2006,0.005
Greece,GRC,2007,0.009000000000000001
Greece,GRC,2008,0.012
Greece,GRC,2009,0.046
Greece,GRC,2010,0.202
Greece,GRC,2011,0.612
Greece,GRC,2012,1.536
Greece,GRC,2013,2.579
Greece,GRC,2014,2.596
Greece,GRC,2015,2.604
Greece,GRC,2016,2.604
Greece,GRC,2017,2.6055300000000003
Greece,GRC,2018,2.6515700000000004
Greece,GRC,2019,2.833794
Greece,GRC,2020,3.2877199999999998
Greece,GRC,2021,3.5300000000000002
High-income countries,,1996,0.1549
High-income countries,,1997,0.21
High-income countries,,1998,0.2765
High-income countries,,1999,0.3825
High-income countries,,2000,0.7332000000000001
High-income countries,,2001,0.9993
High-income countries,,2002,1.31553
High-income countries,,2003,1.80975
High-income countries,,2004,2.8639699999999997
High-income countries,,2005,4.279644
High-income countries,,2006,5.754938
High-income countries,,2007,8.0768394
High-income countries,,2008,14.195200000000002
High-income countries,,2009,22.023602
High-income countries,,2010,38.649695
High-income countries,,2011,67.32972000000001
High-income countries,,2012,90.870625
High-income countries,,2013,112.36930000000001
High-income countries,,2014,135.42244
High-income countries,,2015,163.54958
High-income countries,,2016,191.79188000000002
High-income countries,,2017,217.12705
High-income countries,,2018,246.0403
High-income countries,,2019,290.9125
High-income countries,,2020,340.51756
High-income countries,,2021,395.40947
Honduras,HND,1996,0
Honduras,HND,1997,0
Honduras,HND,1998,0
Honduras,HND,1999,0.001
Honduras,HND,2000,0.001599
Honduras,HND,2001,0.001804
Honduras,HND,2002,0.001975
Honduras,HND,2003,0.002128
Honduras,HND,2004,0.002376
Honduras,HND,2005,0.0026680000000000002
Honduras,HND,2006,0.002872
Honduras,HND,2007,0.0032280000000000004
Honduras,HND,2008,0.0032280000000000004
Honduras,HND,2009,0.003512
Honduras,HND,2010,0.0037280000000000004
Honduras,HND,2011,0.004479
Honduras,HND,2012,0.005156
Honduras,HND,2013,0.005156
Honduras,HND,2014,0.005156
Honduras,HND,2015,0.393156
Honduras,HND,2016,0.414156
Honduras,HND,2017,0.453786
Honduras,HND,2018,0.5136860000000001
Honduras,HND,2019,0.514
Honduras,HND,2020,0.514
Honduras,HND,2021,0.514
Hungary,HUN,1996,0
Hungary,HUN,1997,0
Hungary,HUN,1998,0
Hungary,HUN,1999,0
Hungary,HUN,2000,0
Hungary,HUN,2001,0
Hungary,HUN,2002,0
Hungary,HUN,2003,0
Hungary,HUN,2004,0
Hungary,HUN,2005,0
Hungary,HUN,2006,0
Hungary,HUN,2007,0.0004
Hungary,HUN,2008,0.001
Hungary,HUN,2009,0.001
Hungary,HUN,2010,0.002
Hungary,HUN,2011,0.004
Hungary,HUN,2012,0.012
Hungary,HUN,2013,0.035
Hungary,HUN,2014,0.089
Hungary,HUN,2015,0.17200000000000001
Hungary,HUN,2016,0.23500000000000001
Hungary,HUN,2017,0.34400000000000003
Hungary,HUN,2018,0.728
Hungary,HUN,2019,1.4000000000000001
Hungary,HUN,2020,2.1310000000000002
Hungary,HUN,2021,2.1310000000000002
India,IND,1996,0
India,IND,1997,0
India,IND,1998,0
India,IND,1999,0
India,IND,2000,0.0010840000000000001
India,IND,2001,0.005535
India,IND,2002,0.006705
India,IND,2003,0.007885
India,IND,2004,0.00781
India,IND,2005,0.011567000000000001
India,IND,2006,0.009603
India,IND,2007,0.025099
India,IND,2008,0.027723
India,IND,2009,0.039362
India,IND,2010,0.06536199999999999
India,IND,2011,0.5633150000000001
India,IND,2012,0.9785820000000001
India,IND,2013,1.445827
India,IND,2014,3.4440079999999997
India,IND,2015,5.364984000000001
India,IND,2016,9.650521000000001
India,IND,2017,17.923256000000002
India,IND,2018,27.124598000000002
India,IND,2019,34.860906
India,IND,2020,39.042656
India,IND,2021,49.341508000000005
Israel,ISR,1996,0
Israel,ISR,1997,0.0003
Israel,ISR,1998,0.0003
Israel,ISR,1999,0.0004
Israel,ISR,2000,0
Israel,ISR,2001,0
Israel,ISR,2002,0
Israel,ISR,2003,0
Israel,ISR,2004,0
Israel,ISR,2005,0.001
Israel,ISR,2006,0.0013000000000000002
Israel,ISR,2007,0.0018000000000000002
Israel,ISR,2008,0.003
Israel,ISR,2009,0.0245
Israel,ISR,2010,0.0699
Israel,ISR,2011,0.18969999999999998
Israel,ISR,2012,0.272
Israel,ISR,2013,0.3768
Israel,ISR,2014,0.5871000000000001
Israel,ISR,2015,0.7657
Israel,ISR,2016,0.8736
Israel,ISR,2017,0.9823
Israel,ISR,2018,1.2852000000000001
Israel,ISR,2019,1.8074000000000001
Israel,ISR,2020,2.23
Israel,ISR,2021,2.313
Italy,ITA,1996,0.016
Italy,ITA,1997,0.017
Italy,ITA,1998,0.018000000000000002
Italy,ITA,1999,0.018000000000000002
Italy,ITA,2000,0.019
Italy,ITA,2001,0.02
Italy,ITA,2002,0.022
Italy,ITA,2003,0.026000000000000002
Italy,ITA,2004,0.031
Italy,ITA,2005,0.034
Italy,ITA,2006,0.045
Italy,ITA,2007,0.11
Italy,ITA,2008,0.483
Italy,ITA,2009,1.264
Italy,ITA,2010,3.592
Italy,ITA,2011,13.131
Italy,ITA,2012,16.785
Italy,ITA,2013,18.185
Italy,ITA,2014,18.594
Italy,ITA,2015,18.901
Italy,ITA,2016,19.283
Italy,ITA,2017,19.682293
Italy,ITA,2018,20.107590000000002
Italy,ITA,2019,20.865275
Italy,ITA,2020,21.65004
Italy,ITA,2021,22.692040000000002
Japan,JPN,1996,0.06
Japan,JPN,1997,0.091
Japan,JPN,1998,0.133
Japan,JPN,1999,0.209
Japan,JPN,2000,0.33
Japan,JPN,2001,0.453
Japan,JPN,2002,0.637
Japan,JPN,2003,0.86
Japan,JPN,2004,1.1320000000000001
Japan,JPN,2005,1.422
Japan,JPN,2006,1.708
Japan,JPN,2007,1.919
Japan,JPN,2008,2.144
Japan,JPN,2009,2.6270000000000002
Japan,JPN,2010,3.618
Japan,JPN,2011,4.914
Japan,JPN,2012,6.632000000000001
Japan,JPN,2013,13.599
Japan,JPN,2014,23.339000000000002
Japan,JPN,2015,34.15
Japan,JPN,2016,42.04
Japan,JPN,2017,49.5
Japan,JPN,2018,56.162
Japan,JPN,2019,63.192
Japan,JPN,2020,69.764
Japan,JPN,2021,74.191
Jordan,JOR,1996,0
Jordan,JOR,1997,0
Jordan,JOR,1998,0
Jordan,JOR,1999,0
Jordan,JOR,2000,0.000015
Jordan,JOR,2001,0.000015
Jordan,JOR,2002,0.000015
Jordan,JOR,2003,0.000015
Jordan,JOR,2004,0.000015
Jordan,JOR,2005,0.000015
Jordan,JOR,2006,0.000015
Jordan,JOR,2007,0.000015
Jordan,JOR,2008,0.000015
Jordan,JOR,2009,0.000015
Jordan,JOR,2010,0.000015
Jordan,JOR,2011,0.000042999999999999995
Jordan,JOR,2012,0.000073
Jordan,JOR,2013,0.00014099999999999998
Jordan,JOR,2014,0.000236
Jordan,JOR,2015,0.005557
Jordan,JOR,2016,0.28659300000000004
Jordan,JOR,2017,0.39658800000000005
Jordan,JOR,2018,0.6996230000000001
Jordan,JOR,2019,1.18567
Jordan,JOR,2020,1.448375
Jordan,JOR,2021,1.520575
Lower-middle-income countries,,1996,0.0001
Lower-middle-income countries,,1997,0.0001
Lower-middle-income countries,,1998,0.0001
Lower-middle-income countries,,1999,0.0011
Lower-middle-income countries,,2000,0.009485
Lower-middle-income countries,,2001,0.014947
Lower-middle-income countries,,2002,0.017216000000000002
Lower-middle-income countries,,2003,0.019419000000000002
Lower-middle-income countries,,2004,0.022633
Lower-middle-income countries,,2005,0.028739999999999998
Lower-middle-income countries,,2006,0.029319
Lower-middle-income countries,,2007,0.046556
Lower-middle-income countries,,2008,0.05128
Lower-middle-income countries,,2009,0.069824
Lower-middle-income countries,,2010,0.115948
Lower-middle-income countries,,2011,0.810338
Lower-middle-income countries,,2012,1.4378330000000001
Lower-middle-income countries,,2013,2.3377800000000004
Lower-middle-income countries,,2014,4.502354
Lower-middle-income countries,,2015,7.127592
Lower-middle-income countries,,2016,12.678287000000001
Lower-middle-income countries,,2017,21.732004
Lower-middle-income countries,,2018,32.703129000000004
Lower-middle-income countries,,2019,50.293746
Lower-middle-income countries,,2020,67.738734
Lower-middle-income countries,,2021,79.343734
Malaysia,MYS,1996,0
Malaysia,MYS,1997,0
Malaysia,MYS,1998,0
Malaysia,MYS,1999,0
Malaysia,MYS,2000,0
Malaysia,MYS,2001,0
Malaysia,MYS,2002,0
Malaysia,MYS,2003,0
Malaysia,MYS,2004,0
Malaysia,MYS,2005,0
Malaysia,MYS,2006,0
Malaysia,MYS,2007,0.00045000000000000004
Malaysia,MYS,2008,0.00054
Malaysia,MYS,2009,0.00054
Malaysia,MYS,2010,0.0005440000000000001
Malaysia,MYS,2011,0.0005440000000000001
Malaysia,MYS,2012,0.031584
Malaysia,MYS,2013,0.13867400000000002
Malaysia,MYS,2014,0.20538800000000001
Malaysia,MYS,2015,0.26628500000000005
Malaysia,MYS,2016,0.344108
Malaysia,MYS,2017,0.393808
Malaysia,MYS,2018,0.5450750000000001
Malaysia,MYS,2019,0.893595
Malaysia,MYS,2020,1.482597
Malaysia,MYS,2021,1.786747
Mexico,MEX,1996,0.01
Mexico,MEX,1997,0.011
Mexico,MEX,1998,0.012
