Entity,Code,Year,Biofuels Production - TWh - Total
Belgium,BEL,2008,0
Belgium,BEL,2009,1.5663052
Belgium,BEL,2010,4.2494974
Belgium,BEL,2011,4.9068365
Belgium,BEL,2012,5.2025642
Belgium,BEL,2013,5.10835
Belgium,BEL,2014,6.6881804
Belgium,BEL,2015,4.4912734
Belgium,BEL,2016,4.3256507
Belgium,BEL,2017,5.181677
Belgium,BEL,2018,4.9355044
Belgium,BEL,2019,5.2234054
Belgium,BEL,2020,5.4118114
Belgium,BEL,2021,5.3970246
Brazil,BRA,1990,65.00527
Brazil,BRA,1991,72.90802
Brazil,BRA,1992,66.798546
Brazil,BRA,1993,64.79953
Brazil,BRA,1994,71.16422
Brazil,BRA,1995,72.528015
Brazil,BRA,1996,80.751854
Brazil,BRA,1997,88.75702
Brazil,BRA,1998,81.04088
Brazil,BRA,1999,74.77354
Brazil,BRA,2000,61.795197
Brazil,BRA,2001,66.34447
Brazil,BRA,2002,72.809166
Brazil,BRA,2003,83.917046
Brazil,BRA,2004,84.634285
Brazil,BRA,2005,92.56785
Brazil,BRA,2006,102.801834
Brazil,BRA,2007,132.91316
Brazil,BRA,2008,166.03877
Brazil,BRA,2009,163.49847
Brazil,BRA,2010,181.3416
Brazil,BRA,2011,155.90176
Brazil,BRA,2012,159.61436
Brazil,BRA,2013,185.37614
Brazil,BRA,2014,195.19594
Brazil,BRA,2015,209.42525
Brazil,BRA,2016,197.13771
Brazil,BRA,2017,198.33238
Brazil,BRA,2018,238.32605
Brazil,BRA,2019,254.90166
Brazil,BRA,2020,245.11325
Brazil,BRA,2021,233.18593
CIS (BP),,2007,0
CIS (BP),,2008,0.07514027
CIS (BP),,2009,0.23475969
CIS (BP),,2010,0.3841703
CIS (BP),,2011,0.30500025
CIS (BP),,2012,0.33200043
CIS (BP),,2013,0.2642092
CIS (BP),,2014,0.2768865
CIS (BP),,2015,0.21853423
CIS (BP),,2016,0.20443296
CIS (BP),,2017,0.2012415
CIS (BP),,2018,0.14124116
CIS (BP),,2019,0.16124128
CIS (BP),,2020,0.16124128
CIS (BP),,2021,0.16080073
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0
Canada,CAN,1993,0
Canada,CAN,1994,0
Canada,CAN,1995,0
Canada,CAN,1996,0
Canada,CAN,1997,0
Canada,CAN,1998,0
Canada,CAN,1999,0.57797325
Canada,CAN,2000,1.2613882
Canada,CAN,2001,1.3259386
Canada,CAN,2002,1.3599371
Canada,CAN,2003,1.3599371
Canada,CAN,2004,1.363663
Canada,CAN,2005,1.4959308
Canada,CAN,2006,1.918643
Canada,CAN,2007,5.5999856
Canada,CAN,2008,6.0085735
Canada,CAN,2009,8.729076
Canada,CAN,2010,9.353597
Canada,CAN,2011,11.039007
Canada,CAN,2012,10.829853
Canada,CAN,2013,11.477615
Canada,CAN,2014,13.4386215
Canada,CAN,2015,12.837873
Canada,CAN,2016,13.888556
Canada,CAN,2017,13.8
Canada,CAN,2018,13.919111
Canada,CAN,2019,14.796906
Canada,CAN,2020,13.639054
Canada,CAN,2021,13.440441
China,CHN,1990,0
China,CHN,1991,0
China,CHN,1992,0
China,CHN,1993,0
China,CHN,1994,0
China,CHN,1995,0
China,CHN,1996,0
China,CHN,1997,0
China,CHN,1998,0
China,CHN,1999,0
China,CHN,2000,0
China,CHN,2001,0.053060662
China,CHN,2002,1.7684788
China,CHN,2003,4.856231
China,CHN,2004,5.965346
China,CHN,2005,8.368024
China,CHN,2006,12.231145
China,CHN,2007,13.484257
China,CHN,2008,16.731058
China,CHN,2009,18.286423
China,CHN,2010,17.774601
China,CHN,2011,22.119543
China,CHN,2012,23.6831
China,CHN,2013,26.360819
China,CHN,2014,29.27855
China,CHN,2015,24.932436
China,CHN,2016,23.978706
China,CHN,2017,29.046839
China,CHN,2018,28.014196
China,CHN,2019,33.9185
China,CHN,2020,35.785557
China,CHN,2021,39.64496
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0
Colombia,COL,2005,0.17154181
Colombia,COL,2006,1.5707597
Colombia,COL,2007,1.6889794
Colombia,COL,2008,1.7494818
Colombia,COL,2009,3.6427
Colombia,COL,2010,5.2514305
Colombia,COL,2011,6.638568
Colombia,COL,2012,7.279806
Colombia,COL,2013,7.5372925
Colombia,COL,2014,7.8369017
Colombia,COL,2015,8.024199
Colombia,COL,2016,7.8060017
Colombia,COL,2017,7.153719
Colombia,COL,2018,8.93695
Colombia,COL,2019,7.9765263
Colombia,COL,2020,7.4975457
Colombia,COL,2021,8.00661
Europe (BP),,1990,0.073269
Europe (BP),,1991,0.080247
Europe (BP),,1992,0.20241645
Europe (BP),,1993,0.5027869
Europe (BP),,1994,1.4007673
Europe (BP),,1995,2.474585
Europe (BP),,1996,3.590217
Europe (BP),,1997,4.5907125
Europe (BP),,1998,4.3727264
Europe (BP),,1999,5.0051155
Europe (BP),,2000,8.130677
Europe (BP),,2001,10.038443
Europe (BP),,2002,13.413471
Europe (BP),,2003,16.929909
Europe (BP),,2004,25.367048
Europe (BP),,2005,34.71126
Europe (BP),,2006,51.120678
Europe (BP),,2007,69.87283
Europe (BP),,2008,90.39917
Europe (BP),,2009,111.11985
Europe (BP),,2010,126.63299
Europe (BP),,2011,124.416046
Europe (BP),,2012,135.19647
Europe (BP),,2013,145.46101
Europe (BP),,2014,158.74876
Europe (BP),,2015,161.1892
Europe (BP),,2016,156.77554
Europe (BP),,2017,177.29817
Europe (BP),,2018,188.44675
Europe (BP),,2019,192.03827
Europe (BP),,2020,187.31323
Europe (BP),,2021,187.36493
European Union (27),,1990,0.073269
European Union (27),,1991,0.080247
European Union (27),,1992,0.20241645
European Union (27),,1993,0.5027869
European Union (27),,1994,1.4007673
European Union (27),,1995,2.474585
European Union (27),,1996,3.590217
European Union (27),,1997,4.5737877
European Union (27),,1998,4.3575115
European Union (27),,1999,4.990824
European Union (27),,2000,8.11399
European Union (27),,2001,10.020732
European Union (27),,2002,13.365415
European Union (27),,2003,16.802538
European Union (27),,2004,25.178555
European Union (27),,2005,34.50463
European Union (27),,2006,48.07975
European Union (27),,2007,64.996864
European Union (27),,2008,86.2143
European Union (27),,2009,107.94192
European Union (27),,2010,123.1452
European Union (27),,2011,121.16336
European Union (27),,2012,130.64993
European Union (27),,2013,138.17911
European Union (27),,2014,153.11957
European Union (27),,2015,156.19655
European Union (27),,2016,148.46625
European Union (27),,2017,165.88875
European Union (27),,2018,177.43877
European Union (27),,2019,181.67842
European Union (27),,2020,177.97523
European Union (27),,2021,178.05312
Finland,FIN,1990,0
Finland,FIN,1991,0
Finland,FIN,1992,0
Finland,FIN,1993,0
Finland,FIN,1994,0
Finland,FIN,1995,0
Finland,FIN,1996,0
Finland,FIN,1997,0
Finland,FIN,1998,0
Finland,FIN,1999,0
Finland,FIN,2000,0
Finland,FIN,2001,0
Finland,FIN,2002,0
Finland,FIN,2003,0
Finland,FIN,2004,0
Finland,FIN,2005,0
Finland,FIN,2006,0
Finland,FIN,2007,0.43303058
Finland,FIN,2008,0.991635
Finland,FIN,2009,2.6928995
Finland,FIN,2010,3.5050526
Finland,FIN,2011,2.416091
Finland,FIN,2012,3.066077
Finland,FIN,2013,3.844533
Finland,FIN,2014,4.2955194
Finland,FIN,2015,5.011313
Finland,FIN,2016,1.2871335
Finland,FIN,2017,3.6252928
Finland,FIN,2018,3.3016832
Finland,FIN,2019,3.9501984
Finland,FIN,2020,3.5324442
Finland,FIN,2021,3.3617778
France,FRA,1990,0
France,FRA,1991,0
France,FRA,1992,0.02624891
France,FRA,1993,0.2923782
France,FRA,1994,0.94942665
France,FRA,1995,1.8613815
France,FRA,1996,2.678552
France,FRA,1997,3.2066004
France,FRA,1998,2.9976673
France,FRA,1999,3.1512532
France,FRA,2000,3.7758656
France,FRA,2001,3.7668989
France,FRA,2002,4.034773
France,FRA,2003,4.430088
France,FRA,2004,4.643859
France,FRA,2005,7.501699
France,FRA,2006,7.866113
France,FRA,2007,13.113837
France,FRA,2008,24.178932
France,FRA,2009,27.055717
France,FRA,2010,26.374874
France,FRA,2011,26.244072
France,FRA,2012,30.628035
France,FRA,2013,28.553371
France,FRA,2014,28.88099
France,FRA,2015,30.707294
France,FRA,2016,28.094324
France,FRA,2017,27.349375
France,FRA,2018,31.01172
France,FRA,2019,28.762793
France,FRA,2020,26.882746
France,FRA,2021,29.719494
Germany,DEU,1990,0
Germany,DEU,1991,0
Germany,DEU,1992,0.05167209
Germany,DEU,1993,0.05167209
Germany,DEU,1994,0.28933114
Germany,DEU,1995,0.36166975
Germany,DEU,1996,0.5683348
Germany,DEU,1997,0.9300046
Germany,DEU,1998,1.0333371
Germany,DEU,1999,1.3433348
Germany,DEU,2000,2.583337
Germany,DEU,2001,3.6166625
Germany,DEU,2002,5.6833367
Germany,DEU,2003,6.912907
Germany,DEU,2004,10.579198
Germany,DEU,2005,16.176365
Germany,DEU,2006,26.60217
Germany,DEU,2007,33.02326
Germany,DEU,2008,29.390696
Germany,DEU,2009,29.409874
Germany,DEU,2010,36.448257
Germany,DEU,2011,35.813656
Germany,DEU,2012,33.560238
Germany,DEU,2013,35.74399
Germany,DEU,2014,39.94682
Germany,DEU,2015,36.827896
Germany,DEU,2016,37.246746
Germany,DEU,2017,38.017643
Germany,DEU,2018,39.05974
Germany,DEU,2019,40.795673
Germany,DEU,2020,39.174717
Germany,DEU,2021,33.663513
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,0
India,IND,1995,0
India,IND,1996,0
India,IND,1997,0
India,IND,1998,0
India,IND,1999,0
India,IND,2000,0.9976683
India,IND,2001,1.0292509
India,IND,2002,1.0978676
India,IND,2003,1.1321759
India,IND,2004,0.22170524
India,IND,2005,0.915697
India,IND,2006,0.82633024
India,IND,2007,1.1078415
India,IND,2008,1.7061033
India,IND,2009,1.3065449
India,IND,2010,2.1186633
India,IND,2011,3.0859625
India,IND,2012,2.9523406
India,IND,2013,2.8032334
India,IND,2014,3.0561516
India,IND,2015,6.019033
India,IND,2016,7.3420486
India,IND,2017,6.7121634
India,IND,2018,11.499806
India,IND,2019,12.969542
India,IND,2020,14.492524
India,IND,2021,23.029203
Indonesia,IDN,1990,0
Indonesia,IDN,1991,0
Indonesia,IDN,1992,0
Indonesia,IDN,1993,0
Indonesia,IDN,1994,0
Indonesia,IDN,1995,0
Indonesia,IDN,1996,0
Indonesia,IDN,1997,0
Indonesia,IDN,1998,0
Indonesia,IDN,1999,0
Indonesia,IDN,2000,0
Indonesia,IDN,2001,0
Indonesia,IDN,2002,0
Indonesia,IDN,2003,0
Indonesia,IDN,2004,0
Indonesia,IDN,2005,0.10277778
Indonesia,IDN,2006,0.5138889
Indonesia,IDN,2007,2.5254989
Indonesia,IDN,2008,5.1463323
Indonesia,IDN,2009,1.7491089
Indonesia,IDN,2010,2.2396321
Indonesia,IDN,2011,16.585945
Indonesia,IDN,2012,20.319767
Indonesia,IDN,2013,25.659632
Indonesia,IDN,2014,36.324234
Indonesia,IDN,2015,14.81855
Indonesia,IDN,2016,33.429016
Indonesia,IDN,2017,31.23455
Indonesia,IDN,2018,56.397747
Indonesia,IDN,2019,76.79713
Indonesia,IDN,2020,78.586044
Indonesia,IDN,2021,86.639626
Italy,ITA,1990,0
Italy,ITA,1991,0
Italy,ITA,1992,0
Italy,ITA,1993,0
Italy,ITA,1994,0
Italy,ITA,1995,0
Italy,ITA,1996,0
Italy,ITA,1997,0
Italy,ITA,1998,0
Italy,ITA,1999,0
Italy,ITA,2000,0
Italy,ITA,2001,0
Italy,ITA,2002,0
Italy,ITA,2003,0
Italy,ITA,2004,2.9394476
Italy,ITA,2005,2.055556
Italy,ITA,2006,2.2919474
Italy,ITA,2007,2.076106
Italy,ITA,2008,7.279287
Italy,ITA,2009,8.685807
Italy,ITA,2010,9.046453
Italy,ITA,2011,6.8204136
Italy,ITA,2012,3.6217332
Italy,ITA,2013,5.3124213
Italy,ITA,2014,5.963248
Italy,ITA,2015,6.0315504
Italy,ITA,2016,6.093992
Italy,ITA,2017,7.311641
Italy,ITA,2018,7.8877335
Italy,ITA,2019,9.075994
Italy,ITA,2020,12.99235
Italy,ITA,2021,12.720147
Mexico,MEX,1990,0
Mexico,MEX,1991,0
Mexico,MEX,1992,0
Mexico,MEX,1993,0
Mexico,MEX,1994,0
Mexico,MEX,1995,0
Mexico,MEX,1996,0
Mexico,MEX,1997,0
Mexico,MEX,1998,0
Mexico,MEX,1999,0
Mexico,MEX,2000,0
Mexico,MEX,2001,0
Mexico,MEX,2002,0
Mexico,MEX,2003,0
Mexico,MEX,2004,0
Mexico,MEX,2005,0
Mexico,MEX,2006,0
Mexico,MEX,2007,0
Mexico,MEX,2008,0
Mexico,MEX,2009,0
Mexico,MEX,2010,0
Mexico,MEX,2011,0
Mexico,MEX,2012,0
Mexico,MEX,2013,0
Mexico,MEX,2014,0
Mexico,MEX,2015,0
Mexico,MEX,2016,0
Mexico,MEX,2017,0
Mexico,MEX,2018,0
Mexico,MEX,2019,0
Mexico,MEX,2020,0
Mexico,MEX,2021,0
Middle East (BP),,2002,0.08901826
Middle East (BP),,2003,0.09906963
Middle East (BP),,2004,0.08144012
Middle East (BP),,2005,0
Middle East (BP),,2006,0
Middle East (BP),,2007,0
Middle East (BP),,2008,0
Middle East (BP),,2009,0.1359678
Middle East (BP),,2010,0.13005614
Middle East (BP),,2011,0.14187948
Middle East (BP),,2012,0.15412393
Middle East (BP),,2013,0.16552618
Middle East (BP),,2014,0.17734952
Middle East (BP),,2015,0.18917254
Middle East (BP),,2016,0.17783542
Middle East (BP),,2017,0.17734952
Middle East (BP),,2018,0.17734952
Middle East (BP),,2019,0.17734952
Middle East (BP),,2020,0.17783542
Middle East (BP),,2021,0.17734952
Netherlands,NLD,1990,0
Netherlands,NLD,1991,0
Netherlands,NLD,1992,0
Netherlands,NLD,1993,0
Netherlands,NLD,1994,0
Netherlands,NLD,1995,0
Netherlands,NLD,1996,0
Netherlands,NLD,1997,0
Netherlands,NLD,1998,0
Netherlands,NLD,1999,0
Netherlands,NLD,2000,0
Netherlands,NLD,2001,0
Netherlands,NLD,2002,0
Netherlands,NLD,2003,0
Netherlands,NLD,2004,0.06880471
Netherlands,NLD,2005,0.034308363
Netherlands,NLD,2006,0.27188888
Netherlands,NLD,2007,0.94805557
Netherlands,NLD,2008,0.9051667
Netherlands,NLD,2009,2.816111
Netherlands,NLD,2010,4.511413
Netherlands,NLD,2011,7.6950274
Netherlands,NLD,2012,14.698286
Netherlands,NLD,2013,17.213945
Netherlands,NLD,2014,20.73037
Netherlands,NLD,2015,22.236095
Netherlands,NLD,2016,17.631695
Netherlands,NLD,2017,22.954887
Netherlands,NLD,2018,22.21222
Netherlands,NLD,2019,23.55426
Netherlands,NLD,2020,23.334732
Netherlands,NLD,2021,23.511585
Non-OECD (BP),,1990,65.880745
Non-OECD (BP),,1991,73.76861
Non-OECD (BP),,1992,67.61646
Non-OECD (BP),,1993,65.46439
Non-OECD (BP),,1994,71.78242
Non-OECD (BP),,1995,73.09291
Non-OECD (BP),,1996,81.28529
Non-OECD (BP),,1997,89.2812
Non-OECD (BP),,1998,81.490585
Non-OECD (BP),,1999,75.23713
Non-OECD (BP),,2000,63.295094
Non-OECD (BP),,2001,67.96473
Non-OECD (BP),,2002,77.49118
Non-OECD (BP),,2003,92.03907
Non-OECD (BP),,2004,93.01503
Non-OECD (BP),,2005,104.845245
Non-OECD (BP),,2006,122.93111
Non-OECD (BP),,2007,161.24913
Non-OECD (BP),,2008,214.10115
Non-OECD (BP),,2009,215.97638
Non-OECD (BP),,2010,242.44206
Non-OECD (BP),,2011,250.53322
Non-OECD (BP),,2012,267.75415
Non-OECD (BP),,2013,308.51047
Non-OECD (BP),,2014,345.69614
Non-OECD (BP),,2015,333.18622
Non-OECD (BP),,2016,346.83438
Non-OECD (BP),,2017,354.91745
Non-OECD (BP),,2018,425.4705
Non-OECD (BP),,2019,481.7521
Non-OECD (BP),,2020,459.27835
Non-OECD (BP),,2021,471.63907
North America (BP),,1990,16.732742
North America (BP),,1991,19.388733
North America (BP),,1992,22.044724
North America (BP),,1993,25.833727
North America (BP),,1994,28.846283
North America (BP),,1995,30.384048
North America (BP),,1996,21.78628
North America (BP),,1997,28.832184
North America (BP),,1998,31.444319
North America (BP),,1999,33.364548
North America (BP),,2000,37.569035
North America (BP),,2001,41.127224
North America (BP),,2002,49.619167
North America (BP),,2003,64.61444
North America (BP),,2004,78.52306
North America (BP),,2005,92.01743
North America (BP),,2006,119.898056
North America (BP),,2007,168.49942
North America (BP),,2008,237.81534
North America (BP),,2009,271.37283
North America (BP),,2010,318.8539
North America (BP),,2011,356.2605
North America (BP),,2012,340.93863
North America (BP),,2013,356.02264
North America (BP),,2014,378.02682
North America (BP),,2015,387.9511
North America (BP),,2016,413.1226
North America (BP),,2017,425.7172
North America (BP),,2018,438.3592
North America (BP),,2019,427.61838
North America (BP),,2020,388.22733
North America (BP),,2021,412.28738
OECD (BP),,1990,16.806011
OECD (BP),,1991,19.468979
OECD (BP),,1992,22.247139
OECD (BP),,1993,26.336514
OECD (BP),,1994,30.24705
OECD (BP),,1995,32.858635
OECD (BP),,1996,25.376497
OECD (BP),,1997,33.422894
OECD (BP),,1998,35.817043
OECD (BP),,1999,38.369663
OECD (BP),,2000,45.69971
OECD (BP),,2001,51.16567
OECD (BP),,2002,63.132267
OECD (BP),,2003,82.302795
OECD (BP),,2004,104.41975
OECD (BP),,2005,127.448685
OECD (BP),,2006,173.68736
OECD (BP),,2007,241.87306
OECD (BP),,2008,333.14224
OECD (BP),,2009,390.94986
OECD (BP),,2010,456.31482
OECD (BP),,2011,492.24103
OECD (BP),,2012,488.51578
OECD (BP),,2013,513.6079
OECD (BP),,2014,549.7432
OECD (BP),,2015,562.31067
OECD (BP),,2016,581.39667
OECD (BP),,2017,613.21405
OECD (BP),,2018,641.7145
OECD (BP),,2019,632.7362
OECD (BP),,2020,587.36597
OECD (BP),,2021,611.9681
Poland,POL,1990,0
Poland,POL,1991,0
Poland,POL,1992,0
Poland,POL,1993,0
Poland,POL,1994,0
Poland,POL,1995,0
Poland,POL,1996,0
Poland,POL,1997,0
Poland,POL,1998,0
Poland,POL,1999,0
Poland,POL,2000,0
Poland,POL,2001,0
Poland,POL,2002,0
Poland,POL,2003,0.34308362
Poland,POL,2004,0.06880471
Poland,POL,2005,1.3228952
Poland,POL,2006,1.7473805
Poland,POL,2007,1.1637132
Poland,POL,2008,3.3347955
Poland,POL,2009,4.6976676
Poland,POL,2010,5.041024
Poland,POL,2011,4.7568064
Poland,POL,2012,7.505673
Poland,POL,2013,8.021459
Poland,POL,2014,8.657343
Poland,POL,2015,9.3839445
Poland,POL,2016,10.681111
Poland,POL,2017,10.640031
Poland,POL,2018,10.500066
Poland,POL,2019,11.371845
Poland,POL,2020,11.306277
Poland,POL,2021,12.020443
Portugal,PRT,1990,0
Portugal,PRT,1991,0
Portugal,PRT,1992,0
Portugal,PRT,1993,0
Portugal,PRT,1994,0
Portugal,PRT,1995,0
Portugal,PRT,1996,0
Portugal,PRT,1997,0
Portugal,PRT,1998,0
Portugal,PRT,1999,0
Portugal,PRT,2000,0
Portugal,PRT,2001,0
Portugal,PRT,2002,0
Portugal,PRT,2003,0
Portugal,PRT,2004,0
Portugal,PRT,2005,0.010612133
Portugal,PRT,2006,0.81772375
Portugal,PRT,2007,1.8858278
Portugal,PRT,2008,1.7329049
Portugal,PRT,2009,2.6254027
Portugal,PRT,2010,3.3028038
Portugal,PRT,2011,3.841075
Portugal,PRT,2012,3.2053094
Portugal,PRT,2013,3.1913302
Portugal,PRT,2014,3.503142
Portugal,PRT,2015,3.729485
Portugal,PRT,2016,3.4632163
Portugal,PRT,2017,3.6766036
Portugal,PRT,2018,3.8038125
Portugal,PRT,2019,4.111519
Portugal,PRT,2020,3.4916983
Portugal,PRT,2021,3.3810525
South Korea,KOR,1990,0
South Korea,KOR,1991,0
South Korea,KOR,1992,0
South Korea,KOR,1993,0
South Korea,KOR,1994,0
South Korea,KOR,1995,0
South Korea,KOR,1996,0
South Korea,KOR,1997,0
South Korea,KOR,1998,0
South Korea,KOR,1999,0
South Korea,KOR,2000,0
South Korea,KOR,2001,0
South Korea,KOR,2002,0.010612133
South Korea,KOR,2003,0.01686995
South Korea,KOR,2004,0.053947262
South Korea,KOR,2005,0.13318573
South Korea,KOR,2006,0.53019184
South Korea,KOR,2007,0.9665246
South Korea,KOR,2008,2.0659764
South Korea,KOR,2009,2.956218
South Korea,KOR,2010,4.14984
South Korea,KOR,2011,3.908308
South Korea,KOR,2012,4.185823
South Korea,KOR,2013,4.292412
South Korea,KOR,2014,4.5089393
South Korea,KOR,2015,5.1328425
South Korea,KOR,2016,5.15045
South Korea,KOR,2017,4.978256
South Korea,KOR,2018,7.9460115
South Korea,KOR,2019,8.137662
South Korea,KOR,2020,8.0241995
South Korea,KOR,2021,9.013269
South and Central America (BP),,1990,65.812126
South and Central America (BP),,1991,73.69999
South and Central America (BP),,1992,67.54766
South and Central America (BP),,1993,65.395775
South and Central America (BP),,1994,71.713806
South and Central America (BP),,1995,73.02429
South and Central America (BP),,1996,81.216484
South and Central America (BP),,1997,89.17827
South and Central America (BP),,1998,81.387665
South and Central America (BP),,1999,75.16851
South and Central America (BP),,2000,62.22862
South and Central America (BP),,2001,66.813805
South and Central America (BP),,2002,74.30414
South and Central America (BP),,2003,85.82644
South and Central America (BP),,2004,86.49942
South and Central America (BP),,2005,94.67012
South and Central America (BP),,2006,108.06346
South and Central America (BP),,2007,140.73686
South and Central America (BP),,2008,180.33301
South and Central America (BP),,2009,181.26701
South and Central America (BP),,2010,208.82304
South and Central America (BP),,2011,191.58966
South and Central America (BP),,2012,196.5615
South and Central America (BP),,2013,220.82544
South and Central America (BP),,2014,238.19676
South and Central America (BP),,2015,245.57578
